cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_194	MSN_59		AIT117_345	STRv D1 NUDAP	cluster							215	3	['CHRM5', 'XIST', 'RXFP1']	['NPFFR2', 'TSIX', 'SYNPR-AS1', 'CHRM5', 'XIST', 'RXFP1', 'AC068051.1', 'EYA2', 'VWC2L', 'AC096576.3']	H18.30.001(0.7814)| H23.30.001(0.1023)| H20.30.002(0.0884)| H20.30.001(0.0279)| H19.30.004(0.0)	Balanced	Balanced	1110_A07 (0.4093)|1110_B07 (0.3628)|2018_C01 (0.0884)|1042_A06 (0.0791)	0.4093	1110_A07 (0.4093)|a total of 4046 cells in this dominant library	NAC(0.8791)| GPe(0.093)| GPi(0.0093)| PuPV(0.0093)| Pu(0.0047)| GPeR(0.0047)| CaT(0.0)| GPeC(0.0)| CaB(0.0)| CaH(0.0)| PuC(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0323	0.0439	4080	12818	3.14
AIT117_195	MSN_60		AIT117_345	STRv D1 NUDAP	cluster							308	3	['SAMD3', 'PENK', 'VWC2L']	['RXFP1', 'AC068051.1', 'SAMD3', 'GNG4', 'PENK', 'VWC2L', 'PCDH11Y', 'TRHDE', 'PLCH1', 'TSHZ1']	H23.30.001(0.3831)| H20.30.002(0.2403)| H20.30.001(0.211)| H18.30.001(0.1656)| H19.30.004(0.0)	Balanced	Balanced	2018_C01 (0.2110)|1042_A06 (0.1234)|1110_A07 (0.0779)|1482_A03 (0.0747)|1036_C03 (0.0519)|1042_C06 (0.0455)|2006_B05 (0.0422)|2013_A01 (0.0357)|988_E05 (0.0357)|822_A01 (0.0325)|1959_C02 (0.0292)|1110_B07 (0.0227)|1042_B06 (0.0195)|1036_B03 (0.0195)|988_C05 (0.0195)|853_B07 (0.0195)|1091_A05 (0.0162)|847_C04 (0.0162)|960_B03 (0.0130)	0.211	2018_C01 (0.211)|a total of 7029 cells in this dominant library	NAC(0.3896)| GPe(0.2987)| GPi(0.0877)| PuPV(0.0682)| Pu(0.039)| PuR(0.0325)| CaT(0.026)| GPeC(0.0195)| GPeR(0.0162)| CaB(0.013)| PuC(0.0097)| CaH(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0282	0.1199	5858	23436.5	4
AIT117_196	MSN_61		AIT117_345	STRv D1 NUDAP	cluster							558	3	['PTH2R', 'RXFP1', 'GDNF-AS1']	['NPFFR2', 'PTH2R', 'ENPP2', 'CXCL14', 'RXFP1', 'GDNF-AS1', 'IL1RAP', 'AC011246.1', 'PCDH11Y', 'CUX2']	H23.30.001(0.5305)| H20.30.001(0.2527)| H20.30.002(0.1183)| H18.30.001(0.0986)| H19.30.004(0.0)	Balanced	Balanced	2018_C01 (0.4158)|1482_A03 (0.1362)|988_E05 (0.0860)|1042_A06 (0.0609)|1110_A07 (0.0502)|1036_C03 (0.0341)|2013_A01 (0.0269)|1110_B07 (0.0215)|1042_C06 (0.0215)|2006_B05 (0.0125)|2012_B05 (0.0125)|988_C05 (0.0125)|2012_A05 (0.0125)|2016_B03 (0.0108)	0.4158	2018_C01 (0.4158)|a total of 7029 cells in this dominant library	GPe(0.4677)| NAC(0.1953)| GPi(0.1613)| PuPV(0.1093)| PuC(0.0215)| CaT(0.0197)| GPeC(0.009)| PuR(0.0054)| Pu(0.0054)| GPeR(0.0036)| CaH(0.0018)| CaB(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.24	0.0526	0.0866	5984	25839.5	4.32
AIT117_197	MSN_62		AIT117_345	STRv D1 NUDAP	cluster							777	3	['RXFP1', 'EYA2', 'PROS1']	['NPFFR2', 'RXFP1', 'EYA2', 'TLL1', 'PROS1', 'PCDH11Y', 'VWC2L', 'CADPS2', 'PLCXD3', 'FOXP2']	H23.30.001(0.5959)| H20.30.001(0.1699)| H20.30.002(0.1364)| H18.30.001(0.0978)| H19.30.004(0.0)	Balanced	Balanced	2018_C01 (0.4453)|1482_A03 (0.1171)|1042_A06 (0.0721)|1036_C03 (0.0412)|1110_A07 (0.0386)|2013_A01 (0.0360)|1110_B07 (0.0283)|2012_B05 (0.0257)|2012_A05 (0.0219)|1042_C06 (0.0206)|853_B07 (0.0154)|988_E05 (0.0142)|822_A01 (0.0129)|2006_B05 (0.0116)|2016_C03 (0.0116)|1955_C06 (0.0103)	0.4453	2018_C01 (0.4453)|a total of 7029 cells in this dominant library	GPe(0.5148)| NAC(0.2201)| GPi(0.1596)| PuPV(0.0309)| GPeC(0.0154)| Pu(0.0142)| PuR(0.0129)| CaT(0.009)| CaB(0.0077)| GPeR(0.0077)| PuC(0.0064)| CaH(0.0013)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.027	0.0971	4871	15318	3.14
AIT117_63	MSN_63		AIT117_345	STRv D1 NUDAP	cluster							329	3	['LINC01798', 'AC008127.1', 'CACNG5']	['LINC01798', 'AC008127.1', 'AL365255.1', 'NPFFR2', 'PTH2R', 'CACNG5', 'ADAMTSL1', 'ST8SIA6', 'TAC1', 'EPHA3']	H23.30.001(0.6079)| H20.30.001(0.1854)| H20.30.002(0.1064)| H18.30.001(0.1003)| H19.30.004(0.0)	Balanced	Balanced	2018_C01 (0.4498)|1482_A03 (0.0881)|988_C05 (0.0729)|847_C04 (0.0699)|988_E05 (0.0669)|2016_B03 (0.0365)|2012_B05 (0.0243)|2016_C03 (0.0213)|1110_A07 (0.0182)|2012_A05 (0.0152)|822_B01 (0.0152)|2006_B05 (0.0152)|930_D05 (0.0122)|930_B05 (0.0122)|2018_A01 (0.0122)	0.4498	2018_C01 (0.4498)|a total of 7029 cells in this dominant library	GPe(0.4863)| PuPV(0.1824)| GPi(0.1185)| CaT(0.079)| PuC(0.076)| NAC(0.0304)| CaB(0.0091)| Pu(0.0091)| PuR(0.0061)| GPeR(0.003)| CaH(0.0)| GPeC(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0625	0.0889	6055	26419	4.36
AIT117_198	MSN_64		AIT117_345	STRv D1 NUDAP	cluster							462	3	['LINC00390', 'LINC01776', 'EYA2']	['LINC00390', 'AC069133.1', 'NPFFR2', 'LINC01776', 'EYA2', 'PRLR', 'MIR4500HG', 'EPHA3', 'PCDH11Y', 'SNX7']	H20.30.002(0.6039)| H20.30.001(0.2446)| H23.30.001(0.1429)| H18.30.001(0.0087)| H19.30.004(0.0)	Balanced	Balanced	988_C05 (0.5952)|1482_A03 (0.2338)|2018_C01 (0.0909)|2012_B05 (0.0216)	0.5952	988_C05 (0.5952)|a total of 5279 cells in this dominant library	CaT(0.5952)| GPi(0.2641)| GPe(0.0974)| NAC(0.0173)| PuPV(0.013)| CaB(0.0065)| GPeR(0.0022)| Pu(0.0022)| PuC(0.0022)| GPeC(0.0)| CaH(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0571	0.1766	6986.5	38462	5.51
AIT117_199	MSN_65		AIT117_340	STRv D1 Shell	cluster							254	2	['AC079052.1', 'MACROD2-AS1']	['AC079052.1', 'RXFP2', 'TSIX', 'DPYD-AS1', 'MACROD2-AS1', 'XIST', 'GDNF-AS1', 'SEMA3E', 'AP000787.1', 'TAFA1']	H18.30.001(0.7283)| H20.30.002(0.2283)| H20.30.001(0.0354)| H23.30.001(0.0079)| H19.30.004(0.0)	Balanced	Balanced	1110_B07 (0.5354)|1110_A07 (0.1772)|1042_A06 (0.1378)|1036_C03 (0.0866)|1042_B06 (0.0315)|1091_A05 (0.0157)	0.5354	1110_B07 (0.5354)|a total of 4786 cells in this dominant library	NAC(0.9961)| GPe(0.0039)| CaH(0.0)| CaT(0.0)| GPeC(0.0)| GPeR(0.0)| CaB(0.0)| GPi(0.0)| Pu(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Cautious	0	0	0	0	0	0.0137	0.0883	3463	8891.5	2.57
AIT117_200	MSN_66		AIT117_340	STRv D1 Shell	cluster							762	2	['RXFP2', 'GDNF-AS1']	['AC093515.1', 'AC079052.1', 'RXFP2', 'FAM160A1', 'GDNF-AS1', 'AC010280.1', 'SEMA3E', 'LINC01951', 'EBF1', 'TAFA1']	H20.30.002(0.6339)| H20.30.001(0.2572)| H18.30.001(0.0827)| H23.30.001(0.0262)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.3425)|1042_A06 (0.2677)|1042_B06 (0.1562)|1042_C06 (0.0656)|1091_A05 (0.0604)|1036_B03 (0.0315)|1036_A03 (0.0210)|1110_B07 (0.0184)	0.3425	1036_C03 (0.3425)|a total of 10219 cells in this dominant library	NAC(0.9711)| Pu(0.0079)| GPe(0.0039)| GPi(0.0039)| PuC(0.0026)| CaT(0.0026)| CaH(0.0026)| PuR(0.0026)| PuPV(0.0026)| CaB(0.0)| GPeC(0.0)| GPeR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Cautious	0	0	0	0	0	0.01	0.2049	5746.5	21187.5	3.69
AIT117_201	MSN_67		AIT117_339	STRv D2 Shell	cluster							510	3	['AC002072.1', 'SEMA3E', 'PENK']	['AC002072.1', 'CALCRL', 'SYT10', 'SEMA3E', 'DRD2', 'PENK', 'SMOC2', 'TAFA1', 'AC008574.1', 'AC093523.1']	H20.30.002(0.6745)| H20.30.001(0.1255)| H18.30.001(0.1235)| H23.30.001(0.0765)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.5098)|1042_A06 (0.1294)|1110_B07 (0.0647)|1042_C06 (0.0588)|1042_B06 (0.0392)|930_B05 (0.0294)|1110_A07 (0.0235)|988_D05 (0.0216)|2006_B05 (0.0216)|2013_A01 (0.0176)|1482_A03 (0.0176)|2018_C01 (0.0118)	0.5098	1036_C03 (0.5098)|a total of 10219 cells in this dominant library	NAC(0.8353)| GPe(0.0569)| PuC(0.0294)| GPi(0.0255)| CaT(0.0235)| PuPV(0.0137)| GPeR(0.0059)| CaH(0.0059)| GPeC(0.002)| Pu(0.002)| CaB(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.028	0.2717	4983	16411.5	3.29
AIT117_202	MSN_68		AIT117_340	STRv D1 Shell	cluster							158	3	['FAM160A1', 'GDNF-AS1', 'AL807742.1']	['TMC2', 'FAM160A1', 'GDNF-AS1', 'AL807742.1', 'XACT', 'EBF1', 'LINC01951', 'AC010997.3', 'CHD3', 'AC008574.1']	H20.30.001(0.538)| H20.30.002(0.3861)| H18.30.001(0.0506)| H23.30.001(0.0253)| H19.30.004(0.0)	Balanced	Balanced	1042_B06 (0.3544)|1036_C03 (0.3418)|1042_C06 (0.1392)|1110_B07 (0.0380)|1042_A06 (0.0316)|960_B03 (0.0253)|2006_B05 (0.0190)|1482_A03 (0.0190)|930_B05 (0.0127)	0.3544	1042_B06 (0.3544)|a total of 5839 cells in this dominant library	NAC(0.9114)| GPeR(0.0253)| GPe(0.019)| GPi(0.019)| PuC(0.0127)| CaT(0.0063)| PuPV(0.0063)| GPeC(0.0)| CaH(0.0)| CaB(0.0)| Pu(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.24	0	0.3427	4124.5	11373.5	2.76
AIT117_203	MSN_69		AIT117_340	STRv D1 Shell	cluster							202	3	['LYPD1', 'TSIX', 'EBF1']	['LYPD1', 'TSIX', 'MACROD2-AS1', 'GDNF-AS1', 'EBF1', 'AC087457.1', 'TAFA1', 'AC008574.1', 'DCHS2', 'TRPC4']	H18.30.001(0.6139)| H20.30.002(0.3119)| H20.30.001(0.0545)| H23.30.001(0.0198)| H19.30.004(0.0)	Balanced	Balanced	1110_B07 (0.5198)|1036_C03 (0.2030)|1042_A06 (0.1040)|1110_A07 (0.0941)|1042_C06 (0.0198)|1482_A03 (0.0198)|1042_B06 (0.0149)	0.5198	1110_B07 (0.5198)|a total of 4786 cells in this dominant library	NAC(0.9554)| GPi(0.0248)| GPe(0.0149)| PuC(0.005)| CaH(0.0)| CaT(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Cautious	0	0	0	0	0	0.027	0.094	4070	11775	2.89
AIT117_204	MSN_70		AIT117_340	STRv D1 Shell	cluster							587	3	['DCDC2C', 'AL359220.1', 'GDNF-AS1']	['AC093515.1', 'DCDC2C', 'FAM160A1', 'AL359220.1', 'GDNF-AS1', 'MPPED1', 'EBF1', 'TAFA1', 'AC008574.1', 'PCED1B']	H20.30.002(0.5894)| H20.30.001(0.3083)| H23.30.001(0.0579)| H18.30.001(0.0443)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.4276)|1042_C06 (0.1959)|1042_A06 (0.1465)|1042_B06 (0.0869)|1110_B07 (0.0256)|2016_C03 (0.0170)|2006_B05 (0.0153)|960_B03 (0.0136)|2013_A01 (0.0119)|930_B05 (0.0119)|988_D05 (0.0102)	0.4276	1036_C03 (0.4276)|a total of 10219 cells in this dominant library	NAC(0.8876)| GPe(0.0358)| GPeR(0.0204)| PuPV(0.0187)| PuC(0.0136)| CaT(0.0119)| GPi(0.0068)| CaH(0.0051)| CaB(0.0)| GPeC(0.0)| Pu(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0274	0.2362	6016	23048	3.83
AIT117_205	MSN_71		AIT117_339	STRv D2 Shell	cluster							363	4	['SYT10', 'GDNF-AS1', 'PENK', 'DRD2']	['DCDC2C', 'SYT10', 'GDNF-AS1', 'OPRD1', 'PENK', 'DRD2', 'KITLG', 'SMOC2', 'NNAT', 'THSD7B']	H20.30.002(0.6419)| H20.30.001(0.2507)| H18.30.001(0.0689)| H23.30.001(0.0386)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.4821)|1042_A06 (0.1460)|1042_C06 (0.1322)|1042_B06 (0.0854)|988_D05 (0.0441)|994_C03 (0.0275)|2016_C03 (0.0193)|1110_B07 (0.0110)	0.4821	1036_C03 (0.4821)|a total of 10219 cells in this dominant library	NAC(0.8623)| CaT(0.0441)| GPi(0.0275)| PuPV(0.0193)| GPe(0.0165)| CaH(0.0083)| PuC(0.0083)| GPeC(0.0055)| GPeR(0.0055)| Pu(0.0028)| CaB(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.24	0.04	0.2456	5960	23636	3.97
AIT117_206	MSN_72		AIT117_341	STRd D1 Matrix	cluster							5875	5	['LINC00457', 'LINC02822', 'DRD1', 'EBF1', 'AP003464.1']	['LINC00457', 'AC112481.2', 'LINC02822', 'DRD1', 'EBF1', 'AP003464.1', 'TAC1', 'PRLR', 'EPB41L4A', 'LINC02112']	H20.30.002(0.4529)| H23.30.001(0.2822)| H18.30.001(0.1702)| H20.30.001(0.0946)| H19.30.004(0.0)	Balanced	Balanced	822_A01 (0.3959)|1959_C02 (0.1287)|847_B04 (0.1043)|1959_B02 (0.0912)|847_A04 (0.0555)|930_C05 (0.0526)|930_A05 (0.0424)|930_F05 (0.0274)|2006_A05 (0.0218)|1959_A02 (0.0133)	0.3959	822_A01 (0.3959)|a total of 10559 cells in this dominant library	PuR(0.5277)| CaH(0.2517)| Pu(0.1307)| CaB(0.0444)| NAC(0.0344)| PuPV(0.0034)| GPe(0.0031)| PuC(0.0022)| CaT(0.0015)| GPeC(0.0005)| GPeR(0.0003)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0147	0.1658	7118	35933	5.05
AIT117_207	MSN_73		AIT117_341	STRd D1 Matrix	cluster							7699	5	['AL590814.1', 'LINC02462', 'AL139379.1', 'AL138701.2', 'EBF1']	['AL590814.1', 'LINC02462', 'FER1L6-AS2', 'AL139379.1', 'AL138701.2', 'EBF1', 'TRPC6', 'TAC1', 'ADAM12', 'SOX1-OT']	H23.30.001(0.3285)| H20.30.001(0.3095)| H18.30.001(0.2864)| H20.30.002(0.0756)| H19.30.004(0.0)	Balanced	Balanced	847_A04 (0.2483)|930_C05 (0.1611)|2006_A05 (0.1411)|930_E05 (0.1290)|2013_C01 (0.0730)|1959_B02 (0.0647)|897_E03 (0.0421)|891_A06 (0.0340)|930_A05 (0.0188)|2006_B05 (0.0144)	0.2483	847_A04 (0.2483)|a total of 9215 cells in this dominant library	CaH(0.5021)| CaB(0.4191)| NAC(0.0344)| GPe(0.0216)| CaT(0.0075)| PuR(0.0058)| PuPV(0.0045)| Pu(0.0035)| PuC(0.0008)| GPeC(0.0003)| GPeR(0.0003)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0122	0.1108	6685	28288	4.23
AIT117_208	MSN_74		AIT117_341	STRd D1 Matrix	cluster							1652	3	['LINC01487', 'AL139042.1', 'LINC02462']	['LINC02109', 'LINC01487', 'AL590814.1', 'AL139042.1', 'AC112481.2', 'LINC02462', 'EBF1', 'TRPC6', 'ADAM12', 'PLCH1']	H20.30.002(0.7446)| H20.30.001(0.141)| H23.30.001(0.0714)| H18.30.001(0.043)| H19.30.004(0.0)	Balanced	Balanced	897_E03 (0.7367)|930_E05 (0.1314)|2013_C01 (0.0406)|891_A06 (0.0357)|2006_A05 (0.0103)	0.7367	897_E03 (0.7367)|a total of 6586 cells in this dominant library	CaB(0.9546)| CaH(0.0169)| PuPV(0.0145)| PuC(0.0048)| PuR(0.0048)| CaT(0.003)| GPe(0.0012)| GPi(0.0)| GPeR(0.0)| GPeC(0.0)| Pu(0.0)| NAC(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Cautious	0	0	0	0	0	0.02	0.0817	5608.5	23137	4.13
AIT117_209	MSN_75		AIT117_338	STRd D2 Matrix	cluster							5557	6	['LINC00457', 'LINC02343', 'LINC01378', 'ADORA2A', 'AL139379.1', 'AL138701.2']	['LINC00457', 'LINC02343', 'LINC01378', 'ADORA2A', 'AL139379.1', 'AL138701.2', 'OPRD1', 'DRD2', 'PENK', 'AP003464.1']	H20.30.002(0.5427)| H23.30.001(0.2071)| H18.30.001(0.1767)| H20.30.001(0.0734)| H19.30.004(0.0)	Balanced	Balanced	822_A01 (0.5120)|1959_B02 (0.1065)|847_A04 (0.0891)|847_B04 (0.0837)|1959_C02 (0.0614)|930_C05 (0.0516)|930_A05 (0.0209)|2006_A05 (0.0203)|930_E05 (0.0115)	0.512	822_A01 (0.512)|a total of 10559 cells in this dominant library	PuR(0.6046)| CaH(0.2712)| Pu(0.0639)| CaB(0.0452)| NAC(0.0061)| PuC(0.0036)| CaT(0.0022)| PuPV(0.0022)| GPe(0.0011)| GPeC(0.0)| GPeR(0.0)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.01	0.1447	6950	36788	5.29
AIT117_210	MSN_76		AIT117_338	STRd D2 Matrix	cluster							1070	5	['LINC01378', 'AC068875.1', 'LINC02822', 'LINC01117', 'OTOF']	['LINC01378', 'AC068875.1', 'LINC02822', 'LINC01117', 'OTOF', 'CCDC39', 'HS3ST4', 'COL26A1', 'AL022068.1', 'YPEL1']	H23.30.001(0.7785)| H20.30.001(0.0972)| H18.30.001(0.0664)| H20.30.002(0.0579)| H19.30.004(0.0)	Balanced	Balanced	2006_B05 (0.5869)|2013_A01 (0.0832)|2006_A05 (0.0682)|847_A04 (0.0393)|1036_C03 (0.0346)|1042_C06 (0.0280)|930_C05 (0.0224)|1036_B03 (0.0150)|1042_B06 (0.0131)|1036_A03 (0.0112)|2013_C01 (0.0103)	0.5869	2006_B05 (0.5869)|a total of 6534 cells in this dominant library	GPe(0.6776)| NAC(0.1159)| CaB(0.0981)| CaH(0.072)| CaT(0.0103)| GPeR(0.0084)| PuPV(0.0075)| PuR(0.0047)| GPi(0.0028)| GPeC(0.0009)| Pu(0.0009)| PuC(0.0009)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0	0.1559	4119.5	10661.5	2.59
AIT117_211	MSN_77		AIT117_338	STRd D2 Matrix	cluster							1825	5	['DDO', 'LINC02462', 'ADORA2A', 'SYT10', 'LINC01117']	['DDO', 'LINC02462', 'AC015631.1', 'ADORA2A', 'SYT10', 'LINC01117', 'DRD2', 'PENK', 'GDA', 'PCED1B']	H20.30.002(0.4192)| H20.30.001(0.3989)| H23.30.001(0.1167)| H18.30.001(0.0652)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.3715)|1042_C06 (0.2449)|1042_B06 (0.1074)|2006_B05 (0.0433)|1110_B07 (0.0405)|1959_B02 (0.0356)|1036_B03 (0.0345)|1042_A06 (0.0345)|2013_A01 (0.0186)|1036_A03 (0.0132)|1959_A02 (0.0110)	0.3715	1036_C03 (0.3715)|a total of 10219 cells in this dominant library	NAC(0.8696)| GPe(0.0636)| CaH(0.0493)| GPeR(0.0088)| CaB(0.0049)| GPi(0.0022)| CaT(0.0005)| GPeC(0.0005)| PuPV(0.0005)| Pu(0.0)| PuC(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.39	0.02	0.1552	6411	26346	4.11
AIT117_212	MSN_78		AIT117_338	STRd D2 Matrix	cluster							1851	5	['AL138701.2', 'AC073941.1', 'AC012405.1', 'DRD2', 'PENK']	['AL139379.1', 'AL138701.2', 'AC073941.1', 'AC012405.1', 'DRD2', 'PENK', 'LOXHD1', 'THSD7B', 'EYA1', 'RBM20']	H23.30.001(0.3312)| H20.30.001(0.3171)| H18.30.001(0.2755)| H20.30.002(0.0762)| H19.30.004(0.0)	Balanced	Balanced	847_A04 (0.2339)|930_C05 (0.1561)|930_E05 (0.1178)|1959_B02 (0.0767)|2006_A05 (0.0670)|2006_B05 (0.0497)|2013_C01 (0.0416)|822_A01 (0.0373)|2013_A01 (0.0211)|1955_B06 (0.0189)|930_A05 (0.0178)|988_E05 (0.0162)|2018_B01 (0.0162)|847_B04 (0.0146)|1959_C02 (0.0140)|891_A06 (0.0135)	0.2339	847_A04 (0.2339)|a total of 9215 cells in this dominant library	CaH(0.5035)| CaB(0.2458)| GPe(0.0746)| PuR(0.0519)| NAC(0.0454)| PuPV(0.0384)| CaT(0.0194)| Pu(0.0167)| GPeR(0.0022)| PuC(0.0011)| GPeC(0.0011)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.24	0.0172	0.0793	6452	28279	4.38
AIT117_213	MSN_79		AIT117_338	STRd D2 Matrix	cluster							4395	5	['AL139379.1', 'LINC02082', 'AL138701.2', 'TMEM179', 'DRD2']	['ADORA2A', 'AL139379.1', 'LINC02082', 'AL138701.2', 'TMEM179', 'DRD2', 'PENK', 'CALB1', 'SMOC2', 'SH3RF2']	H20.30.001(0.4476)| H18.30.001(0.2503)| H23.30.001(0.1845)| H20.30.002(0.1176)| H19.30.004(0.0)	Balanced	Balanced	930_C05 (0.2425)|847_A04 (0.2291)|930_E05 (0.1954)|930_A05 (0.0676)|1959_B02 (0.0585)|2013_C01 (0.0453)|2006_A05 (0.0382)|822_A01 (0.0221)|1959_A02 (0.0175)|897_E03 (0.0162)|891_A06 (0.0132)	0.2425	930_C05 (0.2425)|a total of 6153 cells in this dominant library	CaH(0.6041)| CaB(0.3083)| NAC(0.0378)| PuR(0.0246)| GPe(0.0073)| CaT(0.0061)| PuPV(0.0059)| Pu(0.0041)| PuC(0.0007)| GPeC(0.0005)| GPeR(0.0005)| GPi(0.0002)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0	0.1053	6560	29361	4.48
AIT117_214	MSN_80		AIT117_343	STRd D2 Striosome	cluster							465	5	['AL353604.1', 'LINC02462', 'AC068722.1', 'AL139379.1', 'AC073941.1']	['AL353604.1', 'LINC02462', 'AC068722.1', 'CHRM3-AS2', 'AL139379.1', 'AC073941.1', 'AL138701.2', 'ETV5', 'AC012405.1', 'DRD2']	H20.30.002(0.7462)| H23.30.001(0.0925)| H20.30.001(0.0839)| H18.30.001(0.0774)| H19.30.004(0.0)	Balanced	Balanced	897_E03 (0.7312)|930_E05 (0.0753)|847_A04 (0.0409)|891_A06 (0.0366)|2006_A05 (0.0323)|2013_C01 (0.0237)|2018_B01 (0.0108)	0.7312	897_E03 (0.7312)|a total of 6586 cells in this dominant library	CaB(0.8989)| CaH(0.0473)| PuPV(0.0258)| CaT(0.0108)| GPe(0.0086)| PuR(0.0065)| PuC(0.0022)| GPi(0.0)| GPeR(0.0)| GPeC(0.0)| Pu(0.0)| NAC(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.39	0.02	0.0821	4820	16375	3.4
AIT117_215	MSN_81		AIT117_338	STRd D2 Matrix	cluster							1722	5	['AL590814.1', 'LINC01378', 'SOX9-AS1', 'LINC02462', 'AL139379.1']	['AL590814.1', 'LINC01378', 'SOX9-AS1', 'LINC02462', 'LINC02822', 'AL139379.1', 'AC073941.1', 'LINC01117', 'AC012405.1', 'DRD2']	H23.30.001(0.5987)| H18.30.001(0.3647)| H20.30.002(0.0226)| H20.30.001(0.0139)| H19.30.004(0.0)	Balanced	Balanced	2006_A05 (0.3328)|847_A04 (0.3235)|2013_C01 (0.1144)|1959_B02 (0.0708)|2006_B05 (0.0372)|891_A06 (0.0366)|2013_A01 (0.0273)|897_E03 (0.0174)	0.3328	2006_A05 (0.3328)|a total of 6477 cells in this dominant library	CaB(0.5075)| CaH(0.4059)| GPe(0.0645)| NAC(0.007)| PuPV(0.0058)| PuR(0.0035)| CaT(0.0029)| Pu(0.0017)| PuC(0.0006)| GPeC(0.0006)| GPeR(0.0)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.01	0.1116	5800	19954	3.44
